MONTANT,FREQUENCE_RECH,REVENUE,FREQUENCE,DATA_VOLUME,ON_NET,REGULARITY,CHURN
3000.0,4.0,3002.0,8.0,266.0,1.0,32,1
1500.0,3.0,1980.0,5.0,4341.0,1.0,29,1
9850.0,32.0,9639.0,38.0,2700.0,4.0,49,1
1000.0,2.0,999.0,2.0,763.0,8.0,1,1
1200.0,3.0,1180.0,3.0,2955.0,28.0,21,1
500.0,1.0,493.0,2.0,1656.0,8.0,2,1
5900.0,11.0,5901.0,15.0,8948.0,18.0,29,1
3000.0,5.0,3000.0,6.0,3763.0,12.0,47,1
200.0,2.0,901.0,4.0,240.0,2.0,17,1
250.0,1.0,250.0,1.0,2840.0,105.0,33,1
1000.0,2.0,989.0,3.0,369.0,26.0,18,1
500.0,1.0,500.0,1.0,0.0,8.0,19,1
2400.0,9.0,2800.0,10.0,1434.0,9.0,5,1
7000.0,3.0,7997.0,5.0,934.0,0.0,2,1
1000.0,1.0,1010.0,1.0,28.0,0.0,1,1
1600.0,8.0,1594.0,9.0,0.0,486.0,24,1
4000.0,8.0,4600.0,13.0,9.0,62.0,29,1
1500.0,3.0,1500.0,3.0,2333.0,36.0,6,1
2500.0,16.0,2515.0,18.0,834.0,25.0,47,1
12350.0,34.0,13012.0,54.0,10686.0,43.0,50,1
4100.0,8.0,4100.0,8.0,1673.0,8.0,2,1
3000.0,4.0,2983.0,4.0,11276.0,3.0,8,1
3000.0,6.0,2990.0,6.0,850.0,15.0,22,1
5300.0,12.0,5297.0,16.0,2607.0,28.0,41,1
1200.0,6.0,2000.0,8.0,815.0,40.0,19,1
500.0,1.0,499.0,2.0,0.0,0.0,1,1
1500.0,3.0,1490.0,4.0,3816.0,26.0,21,1
3000.0,1.0,6000.0,2.0,2480.0,3.0,35,1
6500.0,9.0,6441.0,13.0,9990.0,81.0,49,1
150.0,1.0,300.0,2.0,970.0,2.0,14,1
3000.0,8.0,2990.0,10.0,6519.0,6.0,38,1
700.0,3.0,711.0,5.0,0.0,3.0,7,1
3500.0,6.0,3471.0,8.0,2218.0,11.0,32,1
1400.0,4.0,1655.0,9.0,2251.0,0.0,18,1
200.0,1.0,200.0,1.0,333.0,8.0,2,1
3800.0,5.0,3787.0,6.0,6457.0,5.0,22,1
3000.0,1.0,5985.0,9.0,1360.0,50.0,24,1
500.0,1.0,1000.0,2.0,21.0,8.0,9,1
