,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,MRG,REGULARITY,CHURN
0,K > 24 month,3000.0,4.0,3002.0,1001.0,8.0,266.0,1.0,NO,32,1
1,K > 24 month,1500.0,3.0,1980.0,660.0,5.0,4341.0,1.0,NO,29,1
2,K > 24 month,9850.0,32.0,9639.0,3213.0,38.0,2700.0,4.0,NO,49,1
3,I 18-21 month,1000.0,2.0,999.0,333.0,2.0,763.0,8.0,NO,1,1
4,K > 24 month,1200.0,3.0,1180.0,393.0,3.0,2955.0,28.0,NO,21,1
5,K > 24 month,500.0,1.0,493.0,164.0,2.0,1656.0,8.0,NO,2,1
6,K > 24 month,5900.0,11.0,5901.0,1967.0,15.0,8948.0,18.0,NO,29,1
7,K > 24 month,3000.0,5.0,3000.0,1000.0,6.0,3763.0,12.0,NO,47,1
8,K > 24 month,200.0,2.0,901.0,300.0,4.0,240.0,2.0,NO,17,1
9,K > 24 month,250.0,1.0,250.0,83.0,1.0,2840.0,105.0,NO,33,1
10,K > 24 month,1000.0,2.0,989.0,330.0,3.0,369.0,26.0,NO,18,1
11,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,8.0,NO,19,1
12,K > 24 month,2400.0,9.0,2800.0,933.0,10.0,1434.0,9.0,NO,5,1
13,K > 24 month,7000.0,3.0,7997.0,2666.0,5.0,934.0,0.0,NO,2,1
14,K > 24 month,1000.0,1.0,1010.0,337.0,1.0,28.0,0.0,NO,1,1
15,K > 24 month,1600.0,8.0,1594.0,531.0,9.0,0.0,486.0,NO,24,1
16,K > 24 month,4000.0,8.0,4600.0,1533.0,13.0,9.0,62.0,NO,29,1
17,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,2333.0,36.0,NO,6,1
18,K > 24 month,2500.0,16.0,2515.0,838.0,18.0,834.0,25.0,NO,47,1
19,K > 24 month,12350.0,34.0,13012.0,4337.0,54.0,10686.0,43.0,NO,50,1
20,K > 24 month,4100.0,8.0,4100.0,1367.0,8.0,1673.0,8.0,NO,2,1
21,K > 24 month,3000.0,4.0,2983.0,994.0,4.0,11276.0,3.0,NO,8,1
22,K > 24 month,3000.0,6.0,2990.0,997.0,6.0,850.0,15.0,NO,22,1
23,G 12-15 month,5300.0,12.0,5297.0,1766.0,16.0,2607.0,28.0,NO,41,1
24,K > 24 month,1200.0,6.0,2000.0,667.0,8.0,815.0,40.0,NO,19,1
25,K > 24 month,500.0,1.0,499.0,166.0,2.0,0.0,0.0,NO,1,1
26,K > 24 month,1500.0,3.0,1490.0,497.0,4.0,3816.0,26.0,NO,21,1
27,H 15-18 month,3000.0,1.0,6000.0,2000.0,2.0,2480.0,3.0,NO,35,1
28,K > 24 month,6500.0,9.0,6441.0,2147.0,13.0,9990.0,81.0,NO,49,1
